Item Name,Item Variation,SKU,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Unit,Units Sold,Units Refunded,
Sauce Set,Regular,"",Uncategorized,86,$0.00,0,$0.00,$0.00,$0.00,$0.00,ea,86,0,
1-1 Thin Sliced Beef Tongue 薄切牛舌,Regular,"",American Beef,10,$100.00,0,$0.00,$0.00,$100.00,$10.24,ea,10,0,
1-2 Thick Sliced Beef Tongue 厚切牛舌,Regular,"",American Beef,4,$40.00,0,$0.00,$0.00,$40.00,$4.10,ea,4,0,
1-3 Beef Tongue Root 嚴選牛舌根,Regular,"",American Beef,11,$176.00,0,$0.00,$0.00,$176.00,$18.04,ea,11,0,
2-1 Angus Skirt 横隔膜,Regular,"",American Beef,4,$64.00,0,$0.00,$0.00,$64.00,$6.56,ea,4,0,
2-2 Angus Short Rib 安格斯牛小排,Regular,"",American Beef,2,$28.00,0,$0.00,$0.00,$28.00,$2.87,ea,2,0,
2-4 Angus Finger Meat 安格斯肋條,Regular,"",American Beef,4,$56.00,0,$0.00,$0.00,$56.00,$5.74,ea,4,0,
2-5 Angus Beef Cube 安格斯牛肉角切,Regular,"",American Beef,2,$18.00,0,$0.00,$0.00,$18.00,$1.84,ea,2,0,
1-10 Tasting Set 品鑑盛合,Regular,"",American Wagyu,24,"$1,176.00",0,$0.00,$0.00,"$1,176.00",$120.50,ea,24,0,
1-4 Gold Label Wagyu Short Rib 金牌和牛小排,Regular,"",American Wagyu,15,$390.00,0,$0.00,$0.00,$390.00,$39.97,ea,15,0,
1-5 Gold Label Wagyu Cube 金牌和牛角切,Regular,"",American Wagyu,5,$90.00,0,$0.00,$0.00,$90.00,$9.21,ea,5,0,
1-6 Black Label Wagyu Short Rib 黑牌和牛小排,Regular,"",American Wagyu,4,$76.00,0,$0.00,$0.00,$76.00,$7.79,ea,4,0,
1-7 B.L. Wagyu Chuck Rib 黑牌和牛肩小排,Regular,"",American Wagyu,8,$128.00,0,$0.00,$0.00,$128.00,$13.12,ea,8,0,
1-8 Black Label Wagyu Beef Cube 黑牌和牛角切,Regular,"",American Wagyu,2,$26.00,0,$0.00,$0.00,$26.00,$2.66,ea,2,0,
1-9 Gold Label Wagyu Zabuton 金牌和牛上肩里脊肉,Regular,"",American Wagyu,12,$276.00,0,$0.00,$0.00,$276.00,$28.31,ea,12,0,
0-1 Edamame 毛豆,Regular,"",Appetizer,4,$12.00,0,$0.00,$0.00,$12.00,$1.24,ea,4,0,
0-10 House Special Salad,Regular,"",Appetizer,4,$24.00,0,$0.00,$0.00,$24.00,$2.48,ea,4,0,
0-2 Seaweed Salad 海苔沙拉,Regular,"",Appetizer,3,$9.00,0,$0.00,$0.00,$9.00,$0.93,ea,3,0,
0-3 Roasted Sesame Salad 和風胡麻沙拉,Regular,"",Appetizer,3,$18.00,0,$0.00,$0.00,$18.00,$1.84,ea,3,0,
0-6 Kimchi 泡菜,Regular,"",Appetizer,4,$16.00,0,$0.00,$0.00,$16.00,$1.64,ea,4,0,
0-7 Japanese Vinaigrette Salad 和風油醋沙拉,Regular,"",Appetizer,3,$18.00,0,$0.00,$0.00,$18.00,$1.83,ea,3,0,
0-8 Hiyayakko (Cold Tofu) 凉拌豆腐,Regular,"",Appetizer,2,$8.00,0,$0.00,$0.00,$8.00,$0.82,ea,2,0,
